vid,uid,split,fid,exp
--KCIeTv6PM_14000_24000,--KCIeTv6PM_14000_24000_cat_1,val,0,The object having white and gray fur.
--KCIeTv6PM_14000_24000,--KCIeTv6PM_14000_24000_cat_2,val,0,The cat appearing through the entire video.
--KCIeTv6PM_14000_24000,--KCIeTv6PM_14000_24000_cat_3,val,0,The object making a sound by hitting the camera.
--iSerV5DbY_68000_78000,--iSerV5DbY_68000_78000_hair-dryer_1,val,1,The first object to make a sound.
--iSerV5DbY_68000_78000,--iSerV5DbY_68000_78000_hair-dryer_2,val,1,The hair-dryer in front of the man.
--iSerV5DbY_68000_78000,--iSerV5DbY_68000_78000_hair-dryer_3,val,1,The object that making a sound before the man.
-1HyqEM_VwM_137000_147000,-1HyqEM_VwM_137000_147000_car_1,train,0,The car on a road.
-1HyqEM_VwM_137000_147000,-1HyqEM_VwM_137000_147000_car_2,train,0,The car stopping on the road
-1HyqEM_VwM_137000_147000,-1HyqEM_VwM_137000_147000_car_3,train,0,The object behind the sounding piano.
-1HyqEM_VwM_137000_147000,-1HyqEM_VwM_137000_147000_piano_1,train,2,The object that keeps making sound at all times.
-1HyqEM_VwM_137000_147000,-1HyqEM_VwM_137000_147000_piano_2,train,2,The object making a sound by being played by the man.
-1HyqEM_VwM_137000_147000,-1HyqEM_VwM_137000_147000_piano_3,train,2,The sounding object on the left of the long haired man.
-1HyqEM_VwM_360000_370000,-1HyqEM_VwM_360000_370000_piano_1,train,0,The sounding object.
-5-tOp4t_kU_0_10000,-5-tOp4t_kU_0_10000_helicopter_1,train,0,The object making the loudest sound.
-5-tOp4t_kU_0_10000,-5-tOp4t_kU_0_10000_helicopter_2,train,0,The object getting off the ground.
-5-tOp4t_kU_0_10000,-5-tOp4t_kU_0_10000_helicopter_3,train,0,The object that keeps making sound at all times.
-6AOy8GAMpM_60000_70000,-6AOy8GAMpM_60000_70000_keyboard_1,train,0,The sounding object under the hands.
-6AOy8GAMpM_60000_70000,-6AOy8GAMpM_60000_70000_keyboard_2,train,0,The sounding keyboard.
-6AOy8GAMpM_60000_70000,-6AOy8GAMpM_60000_70000_keyboard_3,train,0,The object making the continuous sound.
-8ZG1rJYPXs_210000_220000,-8ZG1rJYPXs_210000_220000_cello_1,train,0,The cello in front of the piano.
-8ZG1rJYPXs_210000_220000,-8ZG1rJYPXs_210000_220000_cello_2,train,0,The object volume is lower over the time.
-8ZG1rJYPXs_210000_220000,-8ZG1rJYPXs_210000_220000_cello_3,train,0,The sounding object in front of the piano.
-8ZG1rJYPXs_210000_220000,-8ZG1rJYPXs_210000_220000_piano_1,train,1,The object making shorter sound duration than the cello.
-8ZG1rJYPXs_210000_220000,-8ZG1rJYPXs_210000_220000_piano_2,train,1,The object volume is lower over the time.
-9-Jylm9GiA_470000_480000,-9-Jylm9GiA_470000_480000_woman_1,val,0,The first object to make a sound.
-9-Jylm9GiA_470000_480000,-9-Jylm9GiA_470000_480000_woman_2,val,0,The woman held the sounding horse.
-9-Jylm9GiA_470000_480000,-9-Jylm9GiA_470000_480000_woman_3,val,0,The object making a sound by speaking.
-AcwZ-xmAKY_244000_254000,-AcwZ-xmAKY_244000_254000_helicopter_1,train,0,The sounding object.
-AcwZ-xmAKY_244000_254000,-AcwZ-xmAKY_244000_254000_helicopter_2,train,0,The object making the loudest sound.
-AcwZ-xmAKY_244000_254000,-AcwZ-xmAKY_244000_254000_helicopter_3,train,0,The object that keeps making sound at all times.
-Be9nUG_Vzk_60000_70000,-Be9nUG_Vzk_60000_70000_airplane_1,train,0,The object that keeps making sound at all times.
